iter	RMSE
0	74430.2386
1	72087.62416
2	69724.27159
3	67496.21595
4	65520.63866
5	63588.15392
6	61698.88003
7	59916.21158
8	58200.12127
9	56536.43278
10	54933.23541
11	53518.78073
12	52182.66071
13	50921.51632
14	49689.83782
15	48472.27389
16	47329.93739
17	46305.03211
18	45326.98561
19	44369.29537
20	43473.84625
21	42620.99675
22	41794.43647
23	40991.91087
24	40264.89454
25	39603.03953
26	38961.15775
27	38337.16871
28	37788.24267
29	37301.59831
30	36857.74729
31	36384.55577
32	35964.44464
33	35573.58419
34	35139.47653
35	34775.55755
36	34415.55208
37	34074.81272
38	33782.11098
39	33491.26782
40	33212.56079
41	32920.85592
42	32658.91924
43	32425.37774
44	32210.15719
45	32005.57595
46	31801.66239
47	31622.70952
48	31444.14825
49	31273.61389
50	31121.69284
51	30953.19817
52	30807.62251
53	30685.43993
54	30573.35172
55	30423.22393
56	30324.19805
57	30181.33123
58	30075.22353
59	29937.49952
60	29866.87413
61	29721.1444
62	29600.8298
63	29487.73487
64	29411.76276
65	29347.03032
66	29276.23928
67	29214.91162
68	29126.12519
69	29068.81614
70	28954.09786
71	28899.1838
72	28859.44157
73	28777.89537
74	28734.86613
75	28660.41261
76	28578.39516
77	28505.34916
78	28456.08131
79	28406.5701
80	28372.21435
81	28334.81179
82	28303.45741
83	28209.52647
84	28134.87816
85	28102.01442
86	28041.04825
87	27976.54247
88	27915.18284
89	27839.84221
90	27779.61737
91	27722.80296
92	27693.60548
93	27634.90287
94	27567.52871
95	27516.62078
96	27453.13921
97	27423.97728
98	27395.33525
99	27356.05126
100	27315.64214
101	27287.64913
102	27238.71319
103	27199.19347
104	27159.44192
105	27110.66525
106	27095.13395
107	27055.82902
108	27017.97594
109	27009.6277
110	26989.16433
111	26950.29621
112	26915.80483
113	26900.77
114	26861.25927
115	26822.25132
116	26794.7357
117	26760.79006
118	26746.67744
119	26711.84436
120	26700.16426
121	26670.24136
122	26636.176
123	26618.50677
124	26588.29809
125	26572.0848
126	26556.15776
127	26532.65447
128	26495.97694
129	26470.24173
130	26443.5262
131	26409.4961
132	26392.45045
133	26368.51396
134	26351.43178
135	26326.79234
136	26303.53233
137	26284.54752
138	26266.28716
139	26249.63855
140	26224.64536
141	26207.65227
142	26180.81508
143	26153.69648
144	26123.55854
145	26115.06625
146	26097.53586
147	26083.10982
148	26059.6316
149	26046.23424
150	26026.82263
151	26003.86547
152	25971.83034
153	25960.3218
154	25943.69378
155	25928.7155
156	25908.4523
157	25891.0199
158	25874.12951
159	25856.0151
160	25828.86136
161	25808.2485
162	25788.9663
163	25770.97666
164	25756.95819
165	25739.28609
166	25720.92528
167	25706.41729
168	25693.3313
169	25668.9709
170	25647.22578
171	25632.01584
172	25622.03886
173	25600.10993
174	25585.40071
175	25560.70065
176	25544.06225
177	25522.14861
178	25499.87307
179	25492.48688
180	25470.64581
181	25443.78328
182	25429.83203
183	25411.27769
184	25398.08743
185	25385.19196
186	25366.70929
187	25346.4714
188	25331.32117
189	25311.80105
190	25299.3051
191	25283.50361
192	25264.51571
193	25238.79211
194	25229.72141
195	25211.30448
196	25194.77017
197	25187.09032
198	25180.14495
199	25160.59738
200	25150.0335
201	25132.24787
202	25105.79434
203	25089.39827
204	25072.78747
205	25058.91754
206	25048.31058
207	25028.34221
208	25009.05539
209	24988.47259
210	24976.12453
211	24950.54785
212	24929.61865
213	24914.24775
214	24908.80262
215	24899.16398
216	24880.7952
217	24863.75734
218	24851.03668
219	24834.51545
220	24812.49101
221	24791.77936
222	24775.01896
223	24759.5184
224	24749.97609
225	24733.12672
226	24714.88051
227	24700.78343
228	24684.4798
229	24669.26324
230	24656.21941
231	24645.03212
232	24633.50261
233	24618.97495
234	24603.18696
235	24587.3863
236	24575.79358
237	24559.7257
238	24544.44919
239	24525.08738
240	24509.20851
241	24497.35645
242	24476.03559
