iter	Passed	Remaining
0	59	59028
1	62	31289
2	66	21946
3	68	16969
4	70	13939
5	71	11898
6	73	10450
7	75	9354
8	78	8654
9	80	7971
10	82	7456
11	84	6981
12	86	6573
13	88	6254
14	89	5903
15	90	5585
16	91	5306
17	92	5056
18	93	4831
19	94	4627
20	95	4445
21	96	4280
22	97	4128
23	98	3988
24	98	3860
25	100	3781
26	101	3673
27	102	3569
28	103	3473
29	104	3384
30	105	3299
31	106	3221
32	107	3147
33	108	3079
34	109	3013
35	110	2949
36	111	2895
37	113	2866
38	114	2814
39	115	2762
40	115	2712
41	116	2666
42	117	2621
43	118	2578
44	119	2538
45	120	2499
46	121	2461
47	122	2425
48	123	2393
49	124	2370
50	125	2344
51	126	2313
52	127	2282
53	128	2254
54	129	2226
55	130	2199
56	131	2173
57	132	2147
58	133	2123
59	134	2099
60	135	2080
61	136	2059
62	137	2044
63	138	2028
64	139	2008
65	140	1989
66	141	1970
67	142	1951
68	143	1933
69	144	1915
70	145	1898
71	145	1881
72	147	1867
73	148	1857
74	149	1847
75	150	1832
76	151	1817
77	152	1803
78	153	1789
79	154	1775
80	155	1762
81	156	1749
82	157	1736
83	158	1723
84	159	1714
85	160	1703
86	161	1691
87	162	1681
88	163	1676
89	164	1665
90	165	1654
91	166	1643
92	167	1632
93	168	1622
94	169	1612
95	170	1602
96	171	1594
97	172	1588
98	173	1579
99	174	1571
100	175	1563
101	176	1554
102	177	1545
103	178	1536
104	179	1527
105	180	1518
106	180	1510
107	181	1502
108	183	1497
109	184	1491
110	185	1483
111	186	1475
112	187	1473
113	188	1468
114	189	1461
115	190	1453
116	191	1446
117	192	1439
118	193	1431
119	194	1425
120	195	1421
121	196	1415
122	197	1408
123	198	1401
124	199	1399
125	200	1392
126	201	1386
127	202	1380
128	203	1374
129	204	1368
130	205	1362
131	206	1356
132	207	1351
133	208	1345
134	209	1340
135	210	1334
136	210	1328
137	212	1328
138	213	1323
139	214	1317
140	215	1312
141	216	1306
142	217	1301
143	218	1296
144	219	1294
145	220	1289
146	221	1284
147	222	1279
148	223	1274
149	224	1272
150	225	1268
151	226	1263
152	227	1258
153	228	1253
154	229	1249
155	230	1244
156	231	1240
157	232	1236
158	232	1231
159	233	1227
160	234	1223
161	235	1218
162	236	1215
163	238	1215
164	239	1211
165	240	1206
166	241	1202
167	242	1199
168	243	1197
169	244	1193
170	245	1189
171	246	1185
172	247	1181
173	248	1177
174	249	1176
175	250	1172
176	251	1168
177	252	1164
178	253	1160
179	254	1157
180	255	1154
181	256	1150
182	256	1147
183	257	1143
184	258	1139
185	259	1136
186	260	1132
187	261	1129
188	263	1130
189	264	1126
190	265	1123
191	266	1120
192	267	1118
193	268	1115
194	269	1112
195	270	1108
196	271	1105
197	272	1101
198	272	1098
199	273	1095
200	275	1094
201	276	1091
202	277	1088
203	278	1085
204	279	1083
205	280	1079
206	281	1076
207	281	1073
208	282	1070
209	283	1067
210	284	1063
211	285	1060
212	286	1057
213	288	1059
214	289	1056
215	290	1053
216	291	1053
217	292	1050
218	293	1047
219	294	1044
220	295	1041
221	296	1038
222	297	1036
223	298	1033
224	299	1030
225	300	1030
226	301	1027
227	302	1025
228	303	1023
229	304	1020
230	305	1017
231	306	1014
232	307	1012
233	308	1009
234	309	1006
235	310	1004
236	311	1001
237	311	998
238	314	999
239	315	998
240	316	997
241	317	994
242	318	992
243	319	989
244	320	987
245	321	984
246	322	982
247	323	979
248	323	977
249	324	974
250	326	973
251	327	971
252	328	969
253	329	967
254	330	964
255	331	962
256	332	960
257	332	957
258	333	955
259	334	952
260	335	950
261	336	947
262	337	945
263	338	945
264	340	944
265	341	942
266	342	940
267	343	938
268	344	935
269	345	933
270	346	931
271	347	928
272	347	926
273	348	924
274	349	921
275	351	921
276	352	919
277	353	917
278	354	915
279	355	913
280	355	910
281	356	908
282	357	906
283	358	904
284	359	902
285	360	900
286	361	897
287	362	895
288	364	897
289	366	897
290	367	895
291	368	893
292	369	891
293	370	889
294	371	887
295	372	884
296	372	882
297	373	880
298	374	878
299	375	876
300	376	875
301	377	873
302	378	871
303	379	869
304	380	867
305	381	865
306	382	863
307	383	860
308	384	858
309	385	857
310	385	854
311	386	852
312	388	853
313	389	851
314	390	849
315	391	847
316	392	845
317	393	843
318	394	841
319	395	839
320	395	837
321	396	835
322	397	833
323	398	831
324	400	831
325	401	830
326	402	828
327	403	826
328	404	824
329	405	822
330	406	820
331	406	818
332	407	816
333	408	814
334	409	813
335	410	811
336	411	810
337	413	809
338	414	807
339	415	806
340	416	804
341	417	802
342	417	800
343	418	798
344	419	796
345	420	794
346	421	793
347	422	791
348	423	789
349	424	788
350	426	788
351	427	786
352	428	784
353	428	782
354	429	781
355	430	779
356	431	777
357	432	775
358	433	773
359	434	772
360	436	771
361	437	771
362	438	769
363	439	767
364	440	765
365	441	764
366	442	762
367	442	760
368	443	758
369	444	757
370	445	755
371	446	754
372	447	752
373	448	750
374	449	749
375	451	749
376	452	747
377	453	745
378	454	744
379	455	742
380	456	740
381	456	739
382	457	737
383	458	736
384	460	735
385	461	733
386	462	732
387	463	731
388	464	729
389	465	727
390	466	726
391	467	724
392	468	722
393	468	721
394	469	719
395	470	718
396	471	716
397	472	715
398	473	713
399	474	712
400	476	712
401	477	710
402	478	708
403	479	707
404	480	705
405	481	703
406	481	702
407	482	700
408	484	699
409	485	698
410	486	696
411	486	695
412	488	694
413	489	692
414	490	691
415	491	689
416	492	687
417	492	686
418	493	684
419	494	683
420	495	681
421	496	680
422	497	678
423	498	677
424	499	675
425	501	675
426	502	674
427	503	672
428	504	671
429	505	669
430	505	667
431	507	667
432	508	665
433	509	664
434	510	662
435	511	661
436	512	659
437	513	659
438	514	657
439	515	656
440	516	654
441	517	653
442	518	652
443	519	650
444	520	649
445	521	647
446	522	646
447	523	644
448	524	643
449	525	641
450	527	641
451	528	640
452	529	638
453	530	637
454	531	636
455	532	634
456	533	633
457	534	632
458	534	630
459	535	629
460	536	627
461	537	626
462	539	625
463	539	623
464	541	623
465	542	621
466	543	620
467	544	618
468	545	617
469	546	616
470	547	614
471	548	613
472	548	611
473	549	610
474	550	608
475	552	608
476	554	607
477	555	606
478	556	604
479	557	603
480	557	602
481	558	600
482	559	599
483	560	597
484	561	596
485	562	594
486	563	593
487	565	592
488	566	591
489	567	590
490	567	588
491	568	587
492	569	585
493	570	584
494	571	583
495	572	581
496	573	580
497	574	578
498	575	577
499	576	576
500	578	576
501	580	575
502	581	574
503	582	572
504	583	571
505	583	570
506	584	568
507	585	567
508	586	565
509	587	564
510	588	563
511	589	561
512	590	560
513	591	559
514	592	557
515	593	556
516	594	555
517	595	553
518	595	552
519	596	550
520	597	549
521	598	548
522	599	546
523	601	545
524	602	545
525	603	543
526	604	542
527	605	541
528	606	539
529	607	538
530	608	537
531	608	535
532	609	534
533	610	532
534	611	531
535	612	530
536	614	529
537	615	528
538	616	527
539	617	525
540	618	524
541	619	523
542	619	521
543	620	520
544	621	519
545	622	517
546	623	516
547	625	515
548	626	514
549	627	513
550	628	512
551	629	510
552	630	509
553	631	508
554	632	506
555	632	505
556	633	504
557	634	502
558	635	501
559	636	500
560	638	499
561	639	498
562	640	497
563	641	496
564	642	494
565	643	493
566	644	492
567	645	490
568	646	489
569	647	488
570	648	487
571	649	486
572	651	485
573	652	484
574	653	482
575	653	481
576	654	480
577	655	478
578	656	477
579	657	476
580	658	474
581	659	473
582	660	472
583	661	471
584	662	470
585	664	469
586	665	468
587	666	466
588	667	465
589	668	464
590	669	462
591	669	461
592	671	460
593	672	459
594	673	458
595	674	457
596	676	456
597	677	455
598	678	453
599	678	452
600	679	451
601	680	450
602	681	448
603	682	447
604	683	446
605	684	445
606	685	443
607	686	442
608	687	441
609	689	440
610	690	439
611	691	438
612	692	437
613	693	435
614	694	434
615	695	433
616	696	432
617	697	431
618	698	430
619	699	428
620	700	427
621	701	426
622	702	425
623	703	424
624	704	422
625	705	421
626	706	420
627	707	419
628	708	417
629	709	416
630	710	415
631	711	414
632	712	412
633	713	411
634	715	411
635	716	409
636	716	408
637	717	407
638	719	406
639	721	405
640	722	404
641	723	403
642	724	402
643	726	401
644	727	400
645	728	399
646	729	398
647	730	396
648	731	395
649	732	394
650	733	393
651	734	391
652	735	390
653	736	389
654	737	388
655	737	386
656	738	385
657	740	385
658	741	383
